DISTCODE地区代码,County Name,County Name E,City Name,City Name E,Province Name,Province Name E,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
340602,杜集区,Duji District,淮北市,Huaibei City,安徽省,Anhui Province,0.291946187,0.298400108,0.32245223,0.325534374,0.38233777,0.329280823,0.353937066,0.38336744,0.390913387,0.333451106,0.358067767,0.333512287,0.328792195,0.310546225,0.383685451,0.390033097,0.371071039,0.389043732
340603,相山区,Xiangshan District,淮北市,Huaibei City,安徽省,Anhui Province,0.169843516,0.177409266,0.190525001,0.194715754,0.226205822,0.189928914,0.206409341,0.216740904,0.223141322,0.187628419,0.203027149,0.186217007,0.174180606,0.164670165,0.210311391,0.210650447,0.197462456,0.201723532
340604,烈山区,Lieshan District,淮北市,Huaibei City,安徽省,Anhui Province,0.467246038,0.466682907,0.515363863,0.537623803,0.598603099,0.507624891,0.537206335,0.611118671,0.610366113,0.51451655,0.582327529,0.53026124,0.510299857,0.477922016,0.637013429,0.610272316,0.584750917,0.623671117
340621,濉溪县,Suixi County,淮北市,Huaibei City,安徽省,Anhui Province,2.459248416,2.50852759,2.97215336,2.990753058,3.108068307,2.684609092,2.750106715,3.297896689,3.197327584,2.74585609,3.076438304,2.89780338,2.748052958,2.470472503,3.454005401,3.055123306,2.869768691,3.138280741
340702,铜官山区,Tongguanshan District,铜陵市,Tongling City,安徽省,Anhui Province,0.034966498,0.036791678,0.039789369,0.035400518,0.039734707,0.034791032,0.033908232,0.038092099,0.036950746,0.037854317,0.036630971,0.03881583,0.039533549,0.041228086,0.043674232,0.045030408,0.039885575,0.045201502
340703,狮子山区,Shizishan District,铜陵市,Tongling City,安徽省,Anhui Province,0.073307291,0.077396057,0.081525404,0.067652888,0.07872956,0.072678583,0.071025147,0.08182099,0.080487488,0.080703297,0.073711704,0.078819204,0.083520262,0.082315785,0.086970822,0.08713065,0.076780907,0.086088491
340711,郊区,Jiao District,铜陵市,Tongling City,安徽省,Anhui Province,0.160418795,0.141911612,0.152542684,0.173204985,0.192522979,0.174413663,0.172996236,0.163016686,0.198764961,0.180562556,0.168427413,0.183360906,0.210254528,0.201802742,0.198256845,0.207411822,0.224459392,0.198376435
340721,铜陵县,Tongling County,铜陵市,Tongling City,安徽省,Anhui Province,1.246892582,1.317696151,1.360980229,1.186594198,1.33346241,1.169346545,1.177287024,1.282838333,1.330950771,1.348642033,1.288908464,1.347046121,1.416529057,1.418531099,1.535574773,1.507968745,1.307664896,1.393648839
340802,迎江区,Yingjiang District,安庆市,Anqing City,安徽省,Anhui Province,0.317950148,0.336784125,0.312777739,0.287915847,0.339183759,0.308056725,0.308189506,0.319083902,0.334176258,0.336935853,0.299588321,0.329613066,0.343555026,0.33161073,0.348593995,0.340104174,0.295713751,0.3258665
340803,大观区,Daguan District,安庆市,Anqing City,安徽省,Anhui Province,0.295917033,0.313688772,0.304594841,0.278617042,0.31864793,0.286326266,0.29242557,0.311925464,0.320845521,0.321596233,0.291010524,0.333502382,0.31161123,0.324303214,0.325124169,0.340192766,0.293752503,0.312928855
340811,宜秀区,Yixiu District,安庆市,Anqing City,安徽省,Anhui Province,0.606697127,0.644435463,0.628729338,0.582508477,0.651672883,0.584143992,0.588024831,0.627581183,0.650515771,0.648703483,0.622794449,0.667947757,0.668659613,0.675554707,0.713115523,0.724056748,0.634043024,0.684354324
340822,怀宁县,Huaining County,安庆市,Anqing City,安徽省,Anhui Province,2.298330615,2.399021286,2.362040824,2.206858742,2.507291883,2.248608326,2.225280735,2.406958099,2.443556088,2.460558264,2.350678241,2.572783443,2.539214023,2.543954917,2.749263251,2.717710373,2.361318243,2.521432721
340823,枞阳县,Zongyang County,安庆市,Anqing City,安徽省,Anhui Province,2.946701995,3.194949779,3.161726898,2.836051195,3.269978954,2.918796405,2.940200512,3.179384553,3.288947117,3.265906832,3.212497193,3.421729229,3.448479654,3.444077581,3.70348285,3.676042523,3.099281859,3.347028353
340824,潜山县,Qianshan County,安庆市,Anqing City,安徽省,Anhui Province,3.035070339,3.122612914,3.293021677,3.082615705,3.507728741,3.088294674,3.102786866,3.369865706,3.376698771,3.329917305,3.325077376,3.505076337,3.445023472,3.529708419,3.766679308,3.769333953,3.414101085,3.509906973
340825,太湖县,Taihu County,安庆市,Anqing City,安徽省,Anhui Province,3.717619209,3.610843652,4.017548987,3.771420653,4.216585588,3.774438615,3.741505512,4.029011055,4.025457124,4.100094837,3.979892966,4.36030598,4.270009997,4.374461313,4.616094625,4.630779715,4.191152628,4.392572276
340826,宿松县,Susong County,安庆市,Anqing City,安徽省,Anhui Province,3.856384187,3.956644352,4.151161876,3.79116039,4.239684635,3.882678515,3.681469736,4.079803323,3.898998691,4.193942312,3.720056953,4.48326421,4.45306149,4.394952185,4.579130259,4.705518327,4.133368416,4.385562772
340827,望江县,Wangjiang County,安庆市,Anqing City,安徽省,Anhui Province,2.274680642,2.388381369,2.312035356,2.130931275,2.480115527,2.272947043,2.175634344,2.35256896,2.365617148,2.435708055,2.174387227,2.54684424,2.550983858,2.461226391,2.683284805,2.671422128,2.309963877,2.421547093
340828,岳西县,Yuexi County,安庆市,Anqing City,安徽省,Anhui Province,4.342979422,4.498053777,4.939937862,4.580747994,5.234109856,4.623078723,4.595061854,5.128930416,5.07930978,4.917201301,5.069946562,5.250337208,5.202166974,5.357191921,5.615695385,5.712529936,5.314770152,5.32692485
340881,桐城市,Tongcheng City,安庆市,Anqing City,安徽省,Anhui Province,2.475497039,2.676115014,2.747058852,2.573106159,2.890145556,2.469255486,2.565435548,2.763168137,2.82594835,2.798055534,2.804294035,2.857209794,2.884073289,2.894807412,3.134663576,3.13939789,2.715036042,2.824808155
341002,屯溪区,Tunxi District,黄山市,Huangshan City,安徽省,Anhui Province,0.326819637,0.356509261,0.334416865,0.333178985,0.36183363,0.331926401,0.330393883,0.360473627,0.332325138,0.342470034,0.306698711,0.342302845,0.358572394,0.352155045,0.370647994,0.365572011,0.347110645,0.36388424
341003,黄山区,Huangshan District,黄山市,Huangshan City,安徽省,Anhui Province,3.449041784,3.845237054,3.659112353,3.481500377,3.918021508,3.341096694,3.484299204,3.7701901,3.539108351,3.567989025,3.53811629,3.735494431,3.869813098,3.869546883,4.180258392,4.019795841,3.572009511,3.666080427
341004,徽州区,Huizhou District,黄山市,Huangshan City,安徽省,Anhui Province,0.933735823,1.051061343,0.972842251,0.952108884,1.053339473,0.930500735,0.950258584,1.034644478,0.969503977,0.98262187,0.93844035,1.006662714,1.052576061,1.021381932,1.094976568,1.064061175,0.993926956,1.004781461
341021,歙县,She County,黄山市,Huangshan City,安徽省,Anhui Province,4.734136995,5.259572413,4.84568076,4.819726733,5.246838371,4.719361384,4.801801058,5.224054911,4.809213688,4.945585326,4.558289688,4.974923973,5.349742469,5.121082768,5.445205891,5.25612689,4.946700416,4.928518108
341022,休宁县,Xiuning County,黄山市,Huangshan City,安徽省,Anhui Province,4.76094916,5.320384129,4.925619046,4.878059338,5.304378746,4.749584252,4.820033873,5.253277715,4.75044011,4.91612085,4.643214907,5.082586476,5.262950766,5.080039209,5.418356972,5.289683267,4.883670583,4.989733629
341023,黟县,Yi County,黄山市,Huangshan City,安徽省,Anhui Province,1.776163529,2.01588305,1.892453815,1.815634627,2.039046866,1.770075854,1.829406038,1.974262725,1.851937604,1.875250692,1.828902134,1.970960103,2.023897328,1.978089532,2.14617238,2.050321424,1.877070306,1.898492587
341024,祁门县,Qimen County,黄山市,Huangshan City,安徽省,Anhui Province,4.6219516,5.226531933,4.949697156,4.697321652,5.288721703,4.583159593,4.70836252,5.037276552,4.720551846,4.822226067,4.670361595,5.090633305,5.09548391,4.973488974,5.451450028,5.368121558,4.792274665,4.932015306
341102,琅琊区,Langya District,滁州市,Chuzhou City,安徽省,Anhui Province,0.166405284,0.173904499,0.214287607,0.180690131,0.18436249,0.183364832,0.18182891,0.199213545,0.197180034,0.188596955,0.179090123,0.159748041,0.163264174,0.175408702,0.193390184,0.188776485,0.192201344,0.181178765
341103,南谯区,Nanqiao District,滁州市,Chuzhou City,安徽省,Anhui Province,1.750933579,1.854928299,2.243836055,1.955473145,2.037402944,1.934723131,1.955055875,2.128929651,2.134079423,2.081493882,2.16908725,2.013597673,2.046957329,2.153307371,2.427978303,2.344795694,2.256136277,2.194264313
341122,来安县,Lai'an County,滁州市,Chuzhou City,安徽省,Anhui Province,2.038435911,2.067791758,2.595967531,2.257164652,2.218219203,2.248409396,2.230106859,2.423467106,2.468310667,2.391335205,2.385575763,2.160530856,2.376454392,2.419764174,2.790726879,2.655888584,2.577862023,2.233798774
341124,全椒县,Quanjiao County,滁州市,Chuzhou City,安徽省,Anhui Province,2.115737416,2.256991552,2.69330765,2.385500388,2.394651186,2.3447471,2.171781817,2.414982702,2.462047792,2.377741152,2.418390013,2.30825469,2.396283604,2.5319429,2.857961838,2.826149033,2.648999898,2.463131907
341125,定远县,Dingyuan County,滁州市,Chuzhou City,安徽省,Anhui Province,3.705406836,3.846653382,4.847444589,4.045617169,4.124441327,4.466934718,4.315845072,4.892803031,4.828199904,4.621847695,4.914473253,4.539150983,4.676458343,4.719377711,5.633874193,5.265750619,4.977551096,4.39291285
341126,凤阳县,Fengyang County,滁州市,Chuzhou City,安徽省,Anhui Province,2.449796471,2.475012816,3.226515522,2.731787474,2.906106042,2.906101921,3.042664899,3.298876838,3.283230236,3.019514344,3.335352396,3.014268458,3.012722708,3.040176523,3.643354617,3.474778399,3.236087103,2.927655988
341181,天长市,Tianchang City,滁州市,Chuzhou City,安徽省,Anhui Province,2.40085113,2.500489184,3.082272082,2.704712668,2.613166045,2.687899218,2.656757795,2.863683103,2.998962038,2.928888883,2.931937884,2.627994873,2.998079961,2.900957115,3.542965663,3.332062215,3.045476174,2.336521919
341182,明光市,Mingguang City,滁州市,Chuzhou City,安徽省,Anhui Province,3.069509663,3.205164129,3.918868301,3.378103463,3.609645723,3.550814718,3.744084319,4.019369966,3.950433799,3.760345531,4.000846701,3.702970584,3.884034199,3.831781594,4.554196889,4.363372077,4.125236622,3.938383143
341202,颍州区,Yingzhou District,阜阳市,Fuyang City,安徽省,Anhui Province,0.649738317,0.625353983,0.801173501,0.763146683,0.758627062,0.683094354,0.774891658,0.827864901,0.814478359,0.691495505,0.775721664,0.658636856,0.688685256,0.668378399,0.803543188,0.806705026,0.745211623,0.764710959
341203,颍东区,Yingdong District,阜阳市,Fuyang City,安徽省,Anhui Province,0.843287404,0.841526554,1.049383785,1.024019741,0.99919042,0.918880913,0.989656533,1.141183706,1.12570471,0.936382403,1.091099572,0.946645668,0.950917739,0.881639961,1.161925371,1.11090167,1.031863093,1.077268268
341204,颍泉区,Yingquan District,阜阳市,Fuyang City,安徽省,Anhui Province,0.818410681,0.815915729,0.995931024,1.002472242,0.995575326,0.896219365,0.984188827,1.090950376,1.082853039,0.915131873,1.0324395,0.885805431,0.890298722,0.834967295,1.078077414,1.081775064,0.975500766,1.052784334
341221,临泉县,Linquan County,阜阳市,Fuyang City,安徽省,Anhui Province,2.429132805,2.356785857,3.057513262,3.00340113,2.908675657,2.654673369,2.945295516,3.179043112,3.061635442,2.696891786,3.012488602,2.648704596,2.670008032,2.582237161,3.080074195,3.179738866,2.805879705,2.998851146
341222,太和县,Taihe County,阜阳市,Fuyang City,安徽省,Anhui Province,2.265397482,2.110331362,2.620296475,2.897656617,2.776839144,2.474437465,2.704476526,3.071006259,3.068214065,2.586005788,2.945631419,2.525748724,2.483106233,2.231689037,3.126603687,3.124060359,2.780654727,3.083517514
341225,阜南县,Funan County,阜阳市,Fuyang City,安徽省,Anhui Province,2.405984329,2.493455575,3.419546064,2.979547249,3.089762752,2.842434672,3.214154736,3.332239194,3.348767037,2.849625085,3.164059405,2.981944082,2.870510006,2.98964672,3.404678962,3.39036811,3.129986963,3.123373763
341226,颍上县,Yingshang County,阜阳市,Fuyang City,安徽省,Anhui Province,2.431804318,2.329661613,3.310599932,2.766645583,2.931537255,2.836391735,3.063728491,3.220798679,3.2541495,2.829826661,3.219657921,2.971638772,2.83595363,2.779618496,3.463859748,3.354102547,3.077136123,3.020830857
341282,界首市,Jieshou City,阜阳市,Fuyang City,安徽省,Anhui Province,0.842554226,0.787268284,1.001787986,1.062749739,1.010164075,0.915360986,1.024406373,1.111453605,1.117151585,0.940213913,1.064105833,0.943507993,0.943457742,0.870451455,1.100269953,1.124942653,0.981332586,1.091777974
341302,埇桥区,Yongqiao District,宿州市,Suzhou City,安徽省,Anhui Province,3.66045205,3.704507247,4.222948194,4.453422436,4.616995874,4.122369481,4.438412238,5.066053252,4.905185612,4.188148736,4.694410941,4.375788217,4.268701275,3.747115788,5.287842606,4.726062854,4.389743843,4.697142277
341321,砀山县,Dangshan County,宿州市,Suzhou City,安徽省,Anhui Province,1.383797616,1.340341792,1.506528105,1.72203282,1.882852715,1.596027711,1.761071874,1.855280956,2.046839293,1.603861368,1.664408675,1.603635929,1.632370087,1.456765603,1.839396717,1.873924012,1.788817104,1.821117893
341322,萧县,Xiao County,宿州市,Suzhou City,安徽省,Anhui Province,2.358984933,2.359031708,2.585780248,2.679093086,3.054738034,2.595217357,2.952919142,3.016567686,3.202874802,2.643905058,2.802605102,2.779336214,2.670582263,2.312428239,3.202810647,3.004949045,2.853597278,3.034931391
341323,灵璧县,Lingbi County,宿州市,Suzhou City,安徽省,Anhui Province,2.844712975,2.826855446,3.279904473,3.393495271,3.426752552,3.081209297,3.405311042,3.771991702,3.684888185,3.142870677,3.473726515,3.505477062,3.258844675,2.838894689,4.014949119,3.501601263,3.207227868,3.473906051
341324,泗县,Si County,宿州市,Suzhou City,安徽省,Anhui Province,2.659568248,2.723672469,3.034094388,3.077781725,3.193784111,2.874375761,3.247878546,3.514977594,3.373108406,2.969718785,3.173104725,3.297561162,3.068603094,2.738306634,3.692275282,3.357599855,3.155993855,3.262716645
341402,居巢区,Juchao District,巢湖市,Chaohu City,安徽省,Anhui Province,2.784370635,3.031737031,3.340178378,3.031241869,3.204901949,3.008315724,2.787951649,3.180491662,3.326130319,3.205198614,3.248273211,3.193908686,3.313643015,3.466821912,3.68983318,3.777803327,3.381207152,3.359862995
341421,庐江县,Lujiang County,巢湖市,Chaohu City,安徽省,Anhui Province,3.336177363,3.655490362,3.890356798,3.455462843,3.908871486,3.502755111,3.445444208,3.882679022,4.013228893,3.998734055,3.971478221,4.156911651,4.142743797,4.12490342,4.529045849,4.537926152,4.010691008,4.000825924
341422,无为县,Wuwei County,巢湖市,Chaohu City,安徽省,Anhui Province,3.176505392,3.515922494,3.586692874,3.262363707,3.557776839,3.303069813,3.054141009,3.394105971,3.683179857,3.65426518,3.645580991,3.711426638,3.80866584,3.846823022,4.162701717,4.198847969,3.533131169,3.68447271
341423,含山县,Hanshan County,巢湖市,Chaohu City,安徽省,Anhui Province,1.411058567,1.49871093,1.695284933,1.589953579,1.595150224,1.506009968,1.374490696,1.612501182,1.716166809,1.647460241,1.666129909,1.617930205,1.688124507,1.754624287,1.90158982,1.98424602,1.75597664,1.728379789
341424,和县,He County,巢湖市,Chaohu City,安徽省,Anhui Province,2.027028565,2.139047789,2.464153519,2.223495369,2.276731996,2.178089705,2.0240888,2.33952802,2.476153804,2.378698746,2.311163571,2.331227794,2.412897683,2.478546103,2.624795069,2.716205269,2.442808333,2.332468788
341502,金安区,Jin'an District,六安市,Lu'an City,安徽省,Anhui Province,1.844923301,2.044180335,2.524571842,2.205175037,2.38422789,1.952737578,2.152484149,2.35228664,2.463986325,2.382726235,2.356553427,2.323920028,2.379699036,2.474533821,2.675416781,2.857407529,2.555774253,2.451599782
341503,裕安区,Yu'an District,六安市,Lu'an City,安徽省,Anhui Province,2.068411481,2.412211452,2.996468559,2.622354469,2.888480639,2.287960509,2.609108601,2.949377936,2.940599579,2.867225911,2.933069984,2.878651892,2.877944824,2.98802023,3.179693118,3.427263331,3.089992336,3.042579922
341521,寿县,Shou County,六安市,Lu'an City,安徽省,Anhui Province,3.196502281,3.27614183,4.611022451,3.92712118,3.932595739,4.057789747,3.992473547,4.600751082,4.907375246,4.306870544,4.409423977,4.593198643,4.28774513,4.291630167,5.344418808,5.107946138,4.604408863,3.690837102
341522,霍邱县,Huoqiu County,六安市,Lu'an City,安徽省,Anhui Province,3.498735563,3.724421131,5.683471971,4.740828495,4.831983365,4.43229343,4.820837122,5.220202713,5.430103576,4.943302037,5.20908107,4.953689497,4.746449993,4.780962637,5.706824255,5.852359981,5.278826036,4.690972557
341523,舒城县,Shucheng County,六安市,Lu'an City,安徽省,Anhui Province,2.857847809,3.141948587,3.538432377,3.33360692,3.585771357,2.96841627,3.14867937,3.543472026,3.658581739,3.54829551,3.649050433,3.612730546,3.662157368,3.836576254,4.127007782,4.221409392,3.752079042,3.723488051
341524,金寨县,Jinzhai County,六安市,Lu'an City,安徽省,Anhui Province,5.669679543,6.250273058,7.594680294,7.080680377,7.949900549,6.439463068,7.086761639,7.83855781,7.864986466,7.433908921,7.951505064,7.952496637,7.565429746,8.005214328,8.475460208,8.748400938,8.136776421,8.140904576
341525,霍山县,Huoshan County,六安市,Lu'an City,安徽省,Anhui Province,2.989998791,3.241027034,3.859810961,3.624585453,3.952565513,3.243645442,3.470420186,3.93958133,3.989589507,3.74352369,4.014879319,3.979789858,3.920518622,4.110153057,4.355816726,4.581524209,4.222494807,4.214158634
341602,谯城区,Qiaocheng District,亳州市,Bozhou City,安徽省,Anhui Province,2.586215027,2.364609372,2.937580974,3.333925355,3.273958319,2.958234613,3.209522523,3.549303808,3.729504773,3.075091897,3.393935654,3.02905101,2.844243682,2.827774387,3.651420576,3.739529585,3.320762155,3.49607708
341621,涡阳县,Guoyang County,亳州市,Bozhou City,安徽省,Anhui Province,2.377838978,2.444871306,2.995079083,3.135064363,3.250275593,2.800963453,2.775624807,3.375978992,3.283945263,2.864295503,3.230514885,2.912448924,2.725660227,2.634128588,3.624087389,3.318126877,3.043320999,3.344415011
341622,蒙城县,Mengcheng County,亳州市,Bozhou City,安徽省,Anhui Province,2.763991066,2.735964861,3.481360803,3.357956136,3.30841317,3.0987721,3.277185481,3.814174721,3.612330578,3.025034726,3.491127291,3.331097286,3.162858314,2.805698215,3.832341258,3.557999322,3.282859223,3.434946171
